date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:21:25	44406/44406	---M--	200	added ('OK')	text/html	date:Tue,%2002%20Jun%202020%2016:36:23%20GMT	https://merolagani.com/Financial/Default.aspx	C:/My%20Web%20Sites/mero%20lagani/merolagani.com/Financial/Default.html	(from )
22:21:25	651/651	---M--	200	added ('OK')	text/html	date:Tue,%2002%20Jun%202020%2016:36:23%20GMT	https://merolagani.com/robots.txt		(from )
22:21:25	901/901	---M--	200	added ('OK')	text/css	etag:%220e9b4de2ae6d41:0%22	https://merolagani.com/Content/bootstrap-multiselect.css	C:/My%20Web%20Sites/mero%20lagani/merolagani.com/Content/bootstrap-multiselect.css	(from https://merolagani.com/Financial/Default.aspx)
22:21:26	3016/3016	---M-Z	200	added ('OK')	text/css	etag:%220e9b4de2ae6d41:0%22	https://merolagani.com/Content/owl.carousel.min.css	C:/My%20Web%20Sites/mero%20lagani/merolagani.com/Content/owl.carousel.min.css	(from https://merolagani.com/Financial/Default.aspx)
22:21:26	115896/115896	---M-Z	200	added ('OK')	application/javascript	etag:%22016e6df2ae6d41:0%22	https://merolagani.com/scripts/jquery/jquery-1.11.0.min.js	C:/My%20Web%20Sites/mero%20lagani/merolagani.com/scripts/jquery/jquery-1.11.0.min.js	(from https://merolagani.com/Financial/Default.aspx)
22:21:26	653276/653276	---M-Z	200	added ('OK')	application/javascript	etag:%22016e6df2ae6d41:0%22	https://merolagani.com/scripts/jquery/jquery-ui.js	C:/My%20Web%20Sites/mero%20lagani/merolagani.com/scripts/jquery/jquery-ui.js	(from https://merolagani.com/Financial/Default.aspx)
22:21:27	84118/84118	---M--	200	added ('OK')	application/javascript	etag:%220e9b4de2ae6d41:0%22	https://merolagani.com/Scripts/DataAnalytics/popper.js	C:/My%20Web%20Sites/mero%20lagani/merolagani.com/Scripts/DataAnalytics/popper.js	(from https://merolagani.com/Financial/Default.aspx)
22:21:27	51148/51148	---M--	200	added ('OK')	application/javascript	etag:%220bc83dd2ae6d41:0%22	https://merolagani.com/Content/DataAnalytics/bootstrap/js/bootstrap.min.js	C:/My%20Web%20Sites/mero%20lagani/merolagani.com/Content/DataAnalytics/bootstrap/js/bootstrap.min.js	(from https://merolagani.com/Financial/Default.aspx)
22:21:27	44406/44406	---M--	200	added ('OK')	text/html	date:Tue,%2002%20Jun%202020%2016:36:25%20GMT	https://merolagani.com/Financial/default.aspx	C:/My%20Web%20Sites/mero%20lagani/merolagani.com/Financial/default-2.html	(from https://merolagani.com/Financial/Default.aspx)
22:21:27	5948/5948	---M--	200	added ('OK')	image/png	etag:%220e9b4de2ae6d41:0%22	https://merolagani.com/Content/images/brand-logo.png	C:/My%20Web%20Sites/mero%20lagani/merolagani.com/Content/images/brand-logo.png	(from https://merolagani.com/Financial/Default.aspx)
